CountryCode,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,2013[YR2013],2014[YR2014],"2015[YR2015]
"
,,,,,,,,,,
COL,1.435823423,1.406899642,1.451147307,1.484764251,1.711390678,1.560629099,,,,
,,,,,,,,,,
COM,0.190925098,0.180694914,0.181858212,0.177475819,0.188940811,0.220233473,,,,
,,,,,,,,,,
CRI,1.647634719,1.85890149,1.880064504,1.693682921,1.665177867,1.704974495,,,,
,,,,,,,,,,
CIV,0.378474934,0.364908082,0.356768972,0.297496879,0.292351513,0.312877703,,,,
,,,,,,,,,,
HRV,5.219693694,5.5005,5.269158157,4.866616935,4.728821777,4.801530011,,,,
,,,,,,,,,,
CUB,2.430747165,2.374571685,2.696438401,2.646355786,3.392291813,3.172315091,,,,
,,,,,,,,,,
CUW,,,,,,,,,,
,,,,,,,,,,
CYP,7.429896031,7.702824917,7.929771311,7.438338502,6.983907546,6.735375823,,,,
,,,,,,,,,,
CZE,11.93120143,11.97429552,11.24012897,10.30516177,10.61336839,10.43108813,,,,
,,,,,,,,,,
DNK,10.11291416,9.20201511,8.547356106,8.05955954,8.394657734,7.248328717,,,,
,,,,,,,,,,
DJI,0.529872323,0.578051792,0.615968351,0.563399208,0.622346841,0.561940931,,,,
,,,,,,,,,,
DMA,1.556231433,2.123695176,1.81071091,1.807803366,1.906487557,1.746141565,,,,
,,,,,,,,,,
DOM,2.103236007,2.241251046,2.222311005,2.103476066,2.158413689,2.182907888,,,,
,,,,,,,,,,
EAS,4.625686739,4.815501065,4.917487209,5.159271434,5.453788608,5.859548487,,,,
,,,,,,,,,,
EAP,3.920063514,4.11407404,4.252016257,4.591647887,4.867541173,5.302499354,,,,
,,,,,,,,,,
ECU,2.066175813,2.203997908,2.064521305,2.355257087,2.293303404,2.354017387,,,,
,,,,,,,,,,
SLV,1.147251739,1.165689677,1.090169563,1.070009174,1.044537988,1.103998574,,,,
,,,,,,,,,,
GNQ,7.359918726,7.204040865,6.562117562,6.533815076,6.421061876,8.907241536,,,,
,,,,,,,,,,
ERI,0.130342391,0.131490396,0.092069391,0.111761081,0.109470529,0.108718365,,,,
,,,,,,,,,,
EST,12.02085298,14.05608572,13.08183443,11.04896311,13.77319664,14.04988252,,,,
,,,,,,,,,,
ETH,0.068835709,0.073120622,0.076668381,0.076906232,0.07559157,0.083943117,,,,
,,,,,,,,,,
EMU,8.258420033,8.130711421,7.9125701,7.310433287,7.420268336,7.132483,,,,
,,,,,,,,,,
ECS,7.968740313,7.930590121,7.882303433,7.225904455,7.611680465,7.541334226,,,,
,,,,,,,,,,
ECA,5.245724889,5.415632441,5.417164592,4.86767075,5.229406982,5.412707404,,,,
,,,,,,,,,,
EUU,8.135652209,8.008063396,7.810485894,7.179203011,7.353037471,7.06979787,,,,
,,,,,,,,,,
FRO,13.98608391,14.18539476,12.97012071,11.8429021,12.9866782,11.72121175,,,,
,,,,,,,,,,
FJI,1.644275372,1.440917951,1.278570124,0.994392232,1.505259596,1.424813248,,,,
,,,,,,,,,,
FIN,12.57063845,12.09848186,10.65165217,9.958628519,11.53084023,10.1640461,,,,
,,,,,,,,,,
FCS,0.830409891,0.751949073,0.831165542,0.865539521,0.880163093,0.858628846,,,,
,,,,,,,,,,
PYF,3.300898999,3.239386851,3.306029055,3.288268805,3.296763845,3.167952684,,,,
,,,,,,,,,,
GAB,1.478335179,1.381898977,1.39589453,1.423082894,1.455445622,1.418165749,,,,
,,,,,,,,,,
GEO,1.398262619,1.463156731,1.463855559,1.421607835,1.466701177,1.769150524,,,,
,,,,,,,,,,
GHA,0.42630423,0.436236777,0.395319087,0.325052954,0.415441052,0.404379798,,,,
,,,,,,,,,,
GRC,8.742449079,8.80106122,8.74361278,8.483171443,7.774920307,7.556057769,,,,
,,,,,,,,,,
GRL,11.04479163,11.28207939,11.71815083,10.2217389,11.66377295,12.44034101,,,,
,,,,,,,,,,
GRD,2.237296507,2.301012675,2.505022418,2.425962147,2.487241705,2.408137432,,,,
,,,,,,,,,,
GUM,,,,,,,,,,
,,,,,,,,,,
GTM,0.928571826,0.915844454,0.811036638,0.864736542,0.771619509,0.748055056,,,,
,,,,,,,,,,
GIN,0.119290573,0.119193056,0.191660762,0.196768408,0.225765923,0.229423425,,,,
,,,,,,,,,,
GNB,0.144756166,0.151256889,0.145619048,0.146971003,0.145854598,0.146810683,,,,
,,,,,,,,,,
GUY,1.735612911,2.095040757,2.083255358,2.085662452,2.282864015,2.357722028,,,,
,,,,,,,,,,
HTI,0.224474915,0.250172074,0.250131013,0.229630548,0.211960718,0.217962048,,,,
,,,,,,,,,,
HPC,0.19259863,0.201442116,0.2052955,0.207488724,0.221467257,0.230193318,,,,
,,,,,,,,,,
HIC,11.77433584,11.7645353,11.56519793,10.84672331,11.22817465,11.07028048,,,,
,,,,,,,,,,
