CountryCode,CO2YR2006,CO2YR2007,CO2YR2008,CO2YR2009,CO2YR2010,CO2YR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014],FAYR2006,FAYR2007,FAYR2008,FAYR2009,FAYR2010,FAYR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014]
PER,1.254522601,1.527183943,1.441345465,1.771065546,1.969722449,1.783233144,,,,753846,752412,750978,749544,748110,746434,744758,743082,
,,,,,,,,,,,,,,,,,,
PHL,0.772811732,0.783104987,0.841040935,0.816054812,0.878135471,0.867845343,,,,70272,69804,69336,68868,68400,70800,73200,75600,
,,,,,,,,,,,,,,,,,,
POL,8.364404885,8.250051626,8.273068216,7.81735027,8.334872118,8.335786706,,,,92258,92516,92774,93032,93290,93502,93714,93926,
,,,,,,,,,,,,,,,,,,
PRT,5.617444894,5.773031758,5.24374293,5.158593379,4.690094769,4.709849624,,,,32846,32732,32618,32504,32390,32276,32162,32048,
,,,,,,,,,,,,,,,,,,
PRI,,,,,,,,,,4661.8,4694.9,4727.9,4761,4790,4827.2,4860.3,4893.3,
,,,,,,,,,,,,,,,,,,
QAT,57.39889605,55.33679996,48.60161977,44.83640145,42.63907601,44.01892637,,,,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
ROM,4.840827017,4.866509869,4.658143211,3.997649195,3.918410158,4.210560124,,,,64158,64406,64654,64902,65150,65842,66534,67226,
,,,,,,,,,,,,,,,,,,
RWA,0.057203516,0.058789064,0.055661387,0.057430655,0.05735438,0.062874197,,,,3972,4094,4216,4338,4460,4528,4596,4664,
,,,,,,,,,,,,,,,,,,
WSM,0.972077406,1.026223949,1.039489751,1.072106118,1.103870902,1.252110076,,,,1710,1710,1710,1710,1710,1710,1710,1710,
,,,,,,,,,,,,,,,,,,
SMR,,,,,,,,,,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
STP,0.538631022,0.526920482,0.515547541,0.548308572,0.579406601,0.587909256,,,,555.2,550.4,545.6,540.8,540,536,536,536,
,,,,,,,,,,,,,,,,,,
SEN,0.413622745,0.448464475,0.444968124,0.464873613,0.638487724,0.58833415,,,,86330,85930,85530,85130,84730,84330,83930,83530,
,,,,,,,,,,,,,,,,,,
SRB,7.25427423,7.078578039,7.058387624,6.300834457,6.292016689,6.799114997,,,,25234,25708,26182,26656,27130,27144,27158,27172,
,,,,,,,,,,,,,,,,,,
SYC,8.669030733,7.546775958,7.970272322,8.485119934,7.679581152,6.835706362,,,,406.7,406.7,406.7,406.7,410,406.7,406.7,406.7,
,,,,,,,,,,,,,,,,,,
SLE,0.139876038,0.119033972,0.120200375,0.115584129,0.12570608,0.152044168,,,,28044,27848,27652,27456,27260,27896,28532,29168,
,,,,,,,,,,,,,,,,,,
SGP,6.997576453,3.965404263,4.927573873,4.778216577,2.655246912,4.320151436,,,,163.5,163.5,163.5,163.5,160,163.5,163.5,163.5,
,,,,,,,,,,,,,,,,,,
SXM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SVK,7.277962961,6.843273815,7.010558568,6.319073237,6.721959562,6.367545917,,,,19334,19348,19362,19376,19390,19392,19394,19396,
,,,,,,,,,,,,,,,,,,
SVN,8.094608116,8.049468764,8.532016271,7.547335376,7.530604813,7.504259702,,,,12438,12446,12454,12462,12470,12472,12474,12476,
,,,,,,,,,,,,,,,,,,
SST,3.562786078,3.654504974,3.568231476,3.415442134,3.533690599,3.459790992,,,,891700.1,889782.5,887865,885947.6,884030,883929.2,883828.3,883727.5,
,,,,,,,,,,,,,,,,,,
SLB,0.373782025,0.387510034,0.378784688,0.377551397,0.376333439,0.368304169,,,,22354,22298,22242,22186,22130,22074,22018,21962,
,,,,,,,,,,,,,,,,,,
SOM,0.068384733,0.068326521,0.065850768,0.063880736,0.06391226,0.05870688,,,,70542,69774,69006,68238,67470,66702,65934,65166,
,,,,,,,,,,,,,,,,,,
ZAF,8.80247507,9.063325529,9.506481163,9.545494788,8.957153524,9.257216472,,,,92410,92410,92410,92410,92410,92410,92410,92410,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SSD,,,,,,,,,,,,,,,71570,71570,71570,
,,,,,,,,,,,,,,,,,,
LKA,0.603103132,0.616503967,0.602955794,0.644280244,0.64824563,0.72992084,,,,21150,21120,21090,21060,21030,20964,20898,20832,
,,,,,,,,,,,,,,,,,,
KNA,4.710907704,4.941167146,4.880433719,5.034263395,4.973200642,5.050964187,,,,110,110,110,110,110,110,110,110,
,,,,,,,,,,,,,,,,,,
LCA,2.187216682,2.262968274,2.292817072,2.197738533,2.273826502,2.270423588,,,,208.4,207.8,207.2,206.6,210,205.4,204.8,204.2,
,,,,,,,,,,,,,,,,,,
MAF,,,,,,,,,,,,,,10,,,,
,,,,,,,,,,,,,,,,,,
VCT,2.020237264,2.084879274,2.11625521,2.114511922,2.146876944,2.179923359,,,,262,264,266,268,270,270,270,270,
,,,,,,,,,,,,,,,,,,
SDN,0.278837922,0.308883977,0.318940846,0.343430682,0.341750839,0.349548724,,,,279366.7,277622.6,275878.4,274134.3,272390,199076,197331.8,195587.7,
,,,,,,,,,,,,,,,,,,
SUR,4.939088986,4.897112104,4.84197988,4.829500002,4.621427372,3.649913361,,,,153670,153630,153590,153550,153510,153472,153434,153396,
,,,,,,,,,,,,,,,,,,
SWZ,0.908384338,0.937064096,0.950321127,0.890557455,0.869767204,0.864988313,,,,5454,5498,5542,5586,5630,5676,5722,5768,
,,,,,,,,,,,,,,,,,,
SWE,5.459003216,5.253521937,5.326109585,4.704368708,5.606000495,5.518421481,,,,281890,281600,281310,281020,280730,280730,280730,280730,
,,,,,,,,,,,,,,,,,,
SYR,2.861435589,3.421673064,3.360814123,3.012318451,2.971741072,2.736990943,,,,4670,4730,4790,4850,4910,4910,4910,4910,
,,,,,,,,,,,,,,,,,,
TJK,0.382552666,0.463345439,0.409462437,0.382774553,0.373872943,0.35894763,,,,4100,4100,4100,4100,4100,4104,4108,4112,
,,,,,,,,,,,,,,,,,,
TZA,0.149737237,0.144041145,0.147981815,0.139972868,0.150058649,0.1549349,,,,495200,491200,487200,483200,479200,475480,471760,468040,
,,,,,,,,,,,,,,,,,,
THA,3.992198458,3.994687144,3.984059667,4.198511915,4.470426149,4.534491734,,,,161298,161596,161894,162192,162490,162790,163090,163390,
,,,,,,,,,,,,,,,,,,
TMP,0.1803952,0.180962382,0.185016931,0.174891045,0.171932157,0.16364808,,,,7868,7756,7644,7532,7420,7308,7196,7084,
,,,,,,,,,,,,,,,,,,
TGO,0.213027516,0.239676702,0.285947797,0.270613774,0.269107041,0.319443622,,,,3662,3464,3266,3068,2870,2672,2474,2276,
,,,,,,,,,,,,,,,,,,
TON,1.264395559,1.112636906,1.17696662,1.276514272,1.128882988,0.983561959,,,,90,90,90,90,90,90,90,90,
,,,,,,,,,,,,,,,,,,
TTO,35.63049125,36.8167629,35.45529782,36.56944789,38.33784104,37.14005424,,,,2292.8,2285.6,2278.4,2271.2,2260,2280.2,2296.3,2312.5,
,,,,,,,,,,,,,,,,,,
TUN,2.270173481,2.357974494,2.403507634,2.374157343,2.535619365,2.402455639,,,,9300,9450,9600,9750,9900,10002,10104,10206,
,,,,,,,,,,,,,,,,,,
TKM,9.722724787,11.53562168,11.55757176,10.11066086,11.35811103,12.18366658,,,,41270,41270,41270,41270,41270,41270,41270,41270,
,,,,,,,,,,,,,,,,,,
TCA,5.173757326,5.762099309,6.094874665,5.940523027,6.152486045,6.010149084,,,,344,344,344,344,340,344,344,344,
,,,,,,,,,,,,,,,,,,
TUV,,,,,,,,,,10,10,10,10,10,10,10,10,
,,,,,,,,,,,,,,,,,,
UGA,0.091545632,0.104292991,0.101918826,0.105319919,0.108297319,0.110886576,,,,32938,31586,30234,28882,27530,26178,24826,23474,
,,,,,,,,,,,,,,,,,,
UKR,6.977980583,6.910708277,6.724046202,5.64701422,6.638152001,6.262351962,,,,95696,95642,95588,95534,95480,95698,95916,96134,
,,,,,,,,,,,,,,,,,,
ARE,23.95451916,23.19506697,23.03360047,21.10229562,20.12095728,20.43383762,,,,3130.6,3141.2,3151.8,3162.4,3170,3183.6,3194.2,3204.8,
,,,,,,,,,,,,,,,,,,
URY,1.995853849,1.796305712,2.471053756,2.401221496,1.912604677,2.296200685,,,,15637,16056,16475,16894,17310,17540.4,17767.8,17995.2,
,,,,,,,,,,,,,,,,,,
UZB,4.436684794,4.391446777,4.434466025,3.912053019,3.693267688,3.914921266,,,,32911,32872,32833,32794,32760,32643.8,32532.6,32421.4,
,,,,,,,,,,,,,,,,,,
VUT,0.222102639,0.433459419,0.406838707,0.508462532,0.496591183,0.591265773,,,,4400,4400,4400,4400,4400,4400,4400,4400,
,,,,,,,,,,,,,,,,,,
VNM,1.233275634,1.352790931,1.497496085,1.636370776,1.76169543,1.971889173,,,,132872,134974,137076,139178,141280,142570,143860,145150,
,,,,,,,,,,,,,,,,,,
VIR,,,,,,,,,,186.2,185,183.9,182.7,180,180.5,179.4,178.2,
,,,,,,,,,,,,,,,,,,
WBG,0.665291777,0.665297084,0.570947494,0.564577775,0.534014834,0.572406877,,,,91.7,91.7,91.7,91.7,90,91.7,91.7,91.7,
,,,,,,,,,,,,,,,,,,
ZMB,0.179773645,0.150264753,0.164691753,0.184057876,0.192078658,0.212449645,,,,501344,499678,498012,496346,494680,493014,491348,489682,
,,,,,,,,,,,,,,,,,,
ZWE,0.78072138,0.731866885,0.569255428,0.600521157,0.646072745,0.691697897,,,,169320,166050,162780,159510,156240,153116,149992,146868,
