CountryCode,CO2YR2006,CO2YR2007,CO2YR2008,CO2YR2009,CO2YR2010,CO2YR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014],FAYR2006,FAYR2007,FAYR2008,FAYR2009,FAYR2010,FAYR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014]
,,,,,,,,,,,,,,,,,,
BLR,6.437868284,6.305628975,6.592748741,6.341938992,6.556549631,6.682510398,,,,84556,84752,84948,85144,85340,85539,85738,85937,
,,,,,,,,,,,,,,,,,,
BEL,10.12287933,9.71371759,9.699598963,9.634775755,9.989975524,8.849398302,,,,6756,6770,6784,6798,6810,6816.4,6820.8,6825.2,
,,,,,,,,,,,,,,,,,,
BLZ,1.488235638,1.536093806,1.473195826,1.495185156,1.721708659,1.670904302,,,,14115,14064.7,14014.5,13964.2,13910,13863.7,13813.5,13763.4,
,,,,,,,,,,,,,,,,,,
BEN,0.458607507,0.516298739,0.500183373,0.514277812,0.541771234,0.509962226,,,,47610,47110,46610,46110,45610,45110,44610,44110,
,,,,,,,,,,,,,,,,,,
BMU,8.070207523,7.968299223,5.955019687,7.095328783,7.320035624,6.07721021,,,,10,10,10,10,10,10,10,10,
,,,,,,,,,,,,,,,,,,
BTN,0.588329935,0.575767714,0.606778515,0.549145981,0.677145031,0.766205619,,,,26655.8,26755,26854.3,26953.6,27050,27152.2,27251.5,27350.8,
,,,,,,,,,,,,,,,,,,
BOL,1.586749065,1.318203858,1.412189336,1.459841011,1.547659087,1.599499039,,,,582290,577240,572190,567140,562090,559200,556310,553420,
,,,,,,,,,,,,,,,,,,
BIH,4.575983248,4.580386562,5.231546645,5.37188996,5.513993843,6.19665215,,,,21850,21850,21850,21850,21850,21850,21850,21850,
,,,,,,,,,,,,,,,,,,
BWA,2.450894169,2.435256168,2.530551369,2.192294586,2.555293381,2.323345006,,,,118246,117062,115878,114694,113510,112488,111466,110444,
,,,,,,,,,,,,,,,,,,
BRN,11.60411517,24.17840939,26.33827137,22.14902862,21.8732221,24.39201338,,,,3872,3854,3836,3818,3800,3800,3800,3800,
,,,,,,,,,,,,,,,,,,
BGR,6.357101164,6.916687364,6.778939404,5.729715977,5.966883548,6.71438251,,,,36682,36854,37026,37198,37370,37542,37714,37886,
,,,,,,,,,,,,,,,,,,
BFA,0.098340164,0.115429246,0.115427271,0.109774087,0.1076731,0.11998056,,,,58890,58290,57690,57090,56490,55892,55294,54696,
,,,,,,,,,,,,,,,,,,
BDI,0.022756803,0.02196433,0.021615102,0.020867637,0.020542078,0.021349926,,,,1954,2098,2242,2386,2530,2576,2622,2668,
,,,,,,,,,,,,,,,,,,
CPV,0.644052983,0.769548992,0.591177784,0.625391176,0.598231164,0.859061433,,,,838.9,841.9,844.9,847.9,850,860.5,870.2,879.8,
,,,,,,,,,,,,,,,,,,
KHM,0.221776426,0.253749445,0.285282402,0.292181175,0.291550731,0.308073152,,,,106036,104762,103488,102214,100940,99666,98392,97118,
,,,,,,,,,,,,,,,,,,
CMR,0.207631788,0.305805976,0.283310454,0.332458227,0.325727347,0.268091793,,,,207960,205760,203560,201360,199160,196960,194760,192560,
,,,,,,,,,,,,,,,,,,
CAN,16.89360819,17.05189953,16.36616459,15.08909766,14.58905354,14.13581338,,,,3475212,3474664,3474116,3473568,3473020,3472554,3472088,3471622,
,,,,,,,,,,,,,,,,,,
CSS,10.04397244,10.53809135,9.97153272,9.758620381,10.00450459,9.692960268,,,,345952.1,345797.2,345642.3,345487.4,345330,345153.3,344974.2,344795.2,
,,,,,,,,,,,,,,,,,,
CYM,9.675461741,11.32581585,11.22444969,10.33528599,10.17344935,10.30493107,,,,127,127,127,127,130,127,127,127,
,,,,,,,,,,,,,,,,,,
CAF,0.055087916,0.055850117,0.054828457,0.053809109,0.059398336,0.063127814,,,,223104,222948,222792,222636,222480,222324,222168,222012,
,,,,,,,,,,,,,,,,,,
CEB,7.233169307,7.269871547,7.152043954,6.521375215,6.839720052,6.911131207,,,,367256,368312,369368,370424,371480,372650,373820,374990,
,,,,,,,,,,,,,,,,,,
TCD,0.039049501,0.042863011,0.045756274,0.042689415,0.043462549,0.043830424,,,,60144,58878,57612,56346,55080,53814,52548,51282,
,,,,,,,,,,,,,,,,,,
CHI,,,,,,,,,,8,8,8,8,8,8,8,8,
,,,,,,,,,,,,,,,,,,
CHL,3.98128427,4.35156491,4.316439805,3.969434147,4.24672531,4.61644538,,,,160798,161176,161554,161932,162310,165318,168326,171334,
,,,,,,,,,,,,,,,,,,
COL,1.435823423,1.406899642,1.451147307,1.484764251,1.711390678,1.560629099,,,,598881.5,595749.4,592617.4,589485.3,586350,586086,585818.9,585551.7,
,,,,,,,,,,,,,,,,,,
COM,0.190925098,0.180694914,0.181858212,0.177475819,0.188940811,0.220233473,,,,414,408,402,396,390,386,382,378,
,,,,,,,,,,,,,,,,,,
CRI,1.647634719,1.85890149,1.880064504,1.693682921,1.665177867,1.704974495,,,,25138,25366,25594,25822,26050,26352,26654,26956,
,,,,,,,,,,,,,,,,,,
CIV,0.378474934,0.364908082,0.356768972,0.297496879,0.292351513,0.312877703,,,,104046,104042,104038,104034,104030,104026,104022,104018,
,,,,,,,,,,,,,,,,,,
HRV,5.219693694,5.5005,5.269158157,4.866616935,4.728821777,4.801530011,,,,19064,19098,19132,19166,19200,19204,19208,19212,
,,,,,,,,,,,,,,,,,,
CUB,2.430747165,2.374571685,2.696438401,2.646355786,3.392291813,3.172315091,,,,27440,27910,28380,28850,29320,29856,30392,30928,
,,,,,,,,,,,,,,,,,,
CUW,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CYP,7.429896031,7.702824917,7.929771311,7.438338502,6.983907546,6.735375823,,,,1728.5,1728.5,1728.5,1728.4,1730,1728.1,1727.8,1727.6,
,,,,,,,,,,,,,,,,,,
CZE,11.93120143,11.97429552,11.24012897,10.30516177,10.61336839,10.43108813,,,,26490,26510,26530,26550,26570,26590,26610,26630,
,,,,,,,,,,,,,,,,,,
DNK,10.11291416,9.20201511,8.547356106,8.05955954,8.394657734,7.248328717,,,,5635.8,5694.6,5753.4,5812.2,5870,5921.2,5971.4,6021.6,
,,,,,,,,,,,,,,,,,,
DJI,0.529872323,0.578051792,0.615968351,0.563399208,0.622346841,0.561940931,,,,56,56,56,56,60,56,56,56,
,,,,,,,,,,,,,,,,,,
DMA,1.556231433,2.123695176,1.81071091,1.807803366,1.906487557,1.746141565,,,,457.2,454.6,451.9,449.3,450,443.9,441.3,438.6,
,,,,,,,,,,,,,,,,,,
DOM,2.103236007,2.241251046,2.222311005,2.103476066,2.158413689,2.182907888,,,,16850,17180,17510,17840,18170,18502,18834,19166,
,,,,,,,,,,,,,,,,,,
ECU,2.066175813,2.203997908,2.064521305,2.355257087,2.293303404,2.354017387,,,,132565,131777.6,130990.3,130202.9,129420,128628.2,127840.8,127053.5,
,,,,,,,,,,,,,,,,,,
SLV,1.147251739,1.165689677,1.090169563,1.070009174,1.044537988,1.103998574,,,,3046,3002,2958,2914,2870,2826,2782,2738,
,,,,,,,,,,,,,,,,,,
GNQ,7.359918726,7.204040865,6.562117562,6.533815076,6.421061876,8.907241536,,,,16732,16614,16496,16378,16260,16144,16028,15912,
,,,,,,,,,,,,,,,,,,
ERI,0.130342391,0.131490396,0.092069391,0.111761081,0.109470529,0.108718365,,,,15496,15452,15408,15364,15320,15276,15232,15188,
,,,,,,,,,,,,,,,,,,
